电影名称,排名,简介,上映时间,导演,主演
肖申克的救赎,"
1



",希望让人自由。,1994,弗兰克·德拉邦特FrankDarabont,蒂姆·罗宾斯TimRobbins
霸王别姬,"
2



",风华绝代。,1993,陈凯歌KaigeChen,张国荣LeslieCheung
阿甘正传,"
3



",一部美国近现代史。,1994,罗伯特·泽米吉斯RobertZemeckis,汤姆·汉克斯TomHanks
这个杀手不太冷,"
4



",怪蜀黍和小萝莉不得不说的故事。,1994,吕克·贝松LucBesson,让·雷诺JeanReno
泰坦尼克号,"
5



",失去的才是永恒的。 ,1997,詹姆斯·卡梅隆JamesCameron,莱昂纳多·迪卡普里奥Leonardo
美丽人生,"
6



",最美的谎言。,1997,罗伯托·贝尼尼RobertoBenigni,罗伯托·贝尼尼RobertoBeni
千与千寻,"
7



",最好的宫崎骏，最好的久石让。 ,2001,宫崎骏HayaoMiyazaki,柊瑠美RumiHîragi
辛德勒的名单,"
8



",拯救一个人，就是拯救整个世界。,1993,史蒂文·斯皮尔伯格StevenSpielberg,连姆·尼森LiamNeeson
盗梦空间,"
9



",诺兰给了我们一场无法盗取的梦。,2010,克里斯托弗·诺兰ChristopherNolan,莱昂纳多·迪卡普里奥Le
忠犬八公的故事,"
10



",永远都不能忘记你所爱的人。,2009,莱塞·霍尔斯道姆LasseHallström,理查·基尔RichardGer
星际穿越,"
11



",爱是一种力量，让我们超越时空感知它的存在。,2014,克里斯托弗·诺兰ChristopherNolan,马修·麦康纳MatthewMc
楚门的世界,"
12



",如果再也不能见到你，祝你早安，午安，晚安。,1998,彼得·威尔PeterWeir,金·凯瑞JimCarrey
海上钢琴师,"
13



",每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998,朱塞佩·托纳多雷GiuseppeTornatore,蒂姆·罗斯TimRoth
三傻大闹宝莱坞,"
14



",英俊版憨豆，高情商版谢耳朵。,2009,拉库马·希拉尼RajkumarHirani,阿米尔·汗AamirKhan
机器人总动员,"
15



",小瓦力，大人生。,2008,安德鲁·斯坦顿AndrewStanton,本·贝尔特BenBurtt
放牛班的春天,"
16



",天籁一般的童声，是最接近上帝的存在。 ,2004,克里斯托夫·巴拉蒂ChristopheBarratier,热拉尔·朱尼奥Gé
无间道,"
17



",香港电影史上永不过时的杰作。,2002,刘伟强/麦兆辉,刘德华
疯狂动物城,"
18



",迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,金妮弗·
大话西游之大圣娶亲,"
19



",一生所爱。,1995,刘镇伟JeffreyLau,周星驰StephenChow
熔炉,"
20



",我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,黄东赫Dong-hyukHwang,孔侑YooGong
教父,"
21



",千万不要记恨你的对手，这样会让你失去理智。,1972,弗朗西斯·福特·科波拉FrancisFordCoppola,马龙·白兰度M
