名字,排名,省份
清华大学,1,北京
北京大学,2,北京
浙江大学,3,浙江
上海交通大学,4,上海
南京大学,5,江苏
复旦大学,6,上海
中国科学技术大学,7,安徽
华中科技大学,8,湖北
武汉大学,9,湖北
西安交通大学,10,陕西
哈尔滨工业大学,11,黑龙江
中山大学,12,广东
北京师范大学,13,北京
四川大学,14,四川
北京航空航天大学,15,北京
同济大学,16,上海
东南大学,17,江苏
中国人民大学,18,北京
北京理工大学,19,北京
南开大学,20,天津
山东大学,21,山东
天津大学,22,天津
中南大学,23,湖南
吉林大学,24,吉林
西北工业大学,25,陕西
厦门大学,26,福建
华南理工大学,27,广东
大连理工大学,28,辽宁
华东师范大学,29,上海
中国农业大学,30,北京
电子科技大学,31,四川
湖南大学,32,湖南
北京科技大学,33,北京
重庆大学,34,重庆
南京航空航天大学,35,江苏
东北大学,36,辽宁
南京理工大学,37,江苏
西安电子科技大学,38,陕西
兰州大学,39,甘肃
北京交通大学,40,北京
南方科技大学,41,广东
华中农业大学,42,湖北
上海大学,43,上海
苏州大学,44,江苏
华东理工大学,45,上海
华中师范大学,46,湖北
南京师范大学,47,江苏
中国地质大学（武汉）,48,湖北
东北师范大学,49,吉林
哈尔滨工程大学,50,黑龙江
西南交通大学,51,四川
南京农业大学,52,江苏
郑州大学,53,河南
北京邮电大学,54,北京
武汉理工大学,55,湖北
中国海洋大学,56,山东
暨南大学,57,广东
中国石油大学（北京）,58,北京
北京工业大学,59,北京
河海大学,60,江苏
中国矿业大学,61,江苏
北京化工大学,62,北京
中国地质大学（北京）,63,北京
西北大学,64,陕西
江南大学,65,江苏
上海科技大学,66,上海
中国石油大学（华东）,67,山东
西南大学,68,重庆
中国矿业大学（北京）,69,北京
深圳大学,70,广东
陕西师范大学,71,陕西
江苏大学,72,江苏
浙江工业大学,73,浙江
北京林业大学,74,北京
华南师范大学,75,广东
西北农林科技大学,76,陕西
扬州大学,77,江苏
南昌大学,78,江西
福州大学,79,福建
华北电力大学,80,北京
东华大学,81,上海
合肥工业大学,82,安徽
云南大学,83,云南
宁波大学,84,浙江
首都师范大学,85,北京
湖南师范大学,86,湖南
南京工业大学,87,江苏
长安大学,88,陕西
福建师范大学,89,福建
安徽大学,90,安徽
南京信息工程大学,91,江苏
上海理工大学,92,上海
华南农业大学,93,广东
广西大学,94,广西
南京邮电大学,95,江苏
燕山大学,95,河北
河南大学,97,河南
湖北大学,98,湖北
广州大学,99,广东
青岛大学,100,山东
湘潭大学,101,湖南
广东工业大学,102,广东
浙江师范大学,103,浙江
大连海事大学,104,辽宁
上海师范大学,105,上海
杭州电子科技大学,106,浙江
武汉科技大学,107,湖北
南京林业大学,108,江苏
河北工业大学,109,天津
山东师范大学,109,山东
浙江理工大学,111,浙江
山西大学,112,山西
太原理工大学,113,山西
东北林业大学,114,黑龙江
河北大学,115,河北
东北农业大学,116,黑龙江
江西师范大学,117,江西
西安建筑科技大学,117,陕西
杭州师范大学,119,浙江
内蒙古大学,120,内蒙古
福建农林大学,121,福建
江苏师范大学,122,江苏
西安理工大学,123,陕西
辽宁大学,124,辽宁
北京建筑大学,125,北京
安徽师范大学,126,安徽
河南师范大学,127,河南
长沙理工大学,128,湖南
昆明理工大学,129,云南
新疆大学,129,新疆
汕头大学,131,广东
西南石油大学,132,四川
山东科技大学,133,山东
河南农业大学,134,河南
贵州大学,135,贵州
华侨大学,136,福建
河北师范大学,137,河北
黑龙江大学,138,黑龙江
中国计量大学,138,浙江
陕西科技大学,140,陕西
沈阳农业大学,141,辽宁
天津师范大学,142,天津
湖北工业大学,143,湖北
海南大学,144,海南
济南大学,145,山东
山东农业大学,146,山东
常州大学,147,江苏
温州大学,147,浙江
重庆邮电大学,149,重庆
齐鲁工业大学,150,山东
曲阜师范大学,151,山东
武汉工程大学,152,湖北
湖南农业大学,153,湖南
天津工业大学,154,天津
安徽农业大学,155,安徽
江苏科技大学,156,江苏
浙江农林大学,157,浙江
北方工业大学,158,北京
广西师范大学,159,广西
吉林农业大学,160,吉林
青岛科技大学,161,山东
四川农业大学,162,四川
西北师范大学,162,甘肃
南通大学,164,江苏
石河子大学,165,新疆
上海海洋大学,166,上海
三峡大学,167,湖北
安徽工业大学,168,安徽
河南理工大学,169,河南
宁夏大学,170,宁夏
西安科技大学,171,陕西
上海海事大学,172,上海
成都理工大学,173,四川
南昌航空大学,174,江西
长春理工大学,175,吉林
辽宁师范大学,176,辽宁
西南科技大学,177,四川
河北农业大学,178,河北
中北大学,179,山西
青海大学,180,青海
集美大学,181,福建
武汉纺织大学,182,湖北
天津理工大学,183,天津
四川师范大学,184,四川
云南师范大学,185,云南
浙江海洋大学,185,浙江
天津科技大学,187,天津
湖南科技大学,188,湖南
重庆交通大学,189,重庆
长江大学,190,湖北
兰州理工大学,191,甘肃
山东理工大学,191,山东
安徽理工大学,193,安徽
烟台大学,193,山东
大连工业大学,195,辽宁
哈尔滨理工大学,196,黑龙江
沈阳师范大学,196,辽宁
延边大学,198,吉林
内蒙古农业大学,199,内蒙古
河南科技大学,200,河南
南华大学,201,湖南
哈尔滨师范大学,202,黑龙江
石家庄铁道大学,203,河北
北京信息科技大学,204,北京
沈阳建筑大学,205,辽宁
青岛农业大学,206,山东
上海工程技术大学,207,上海
河南工业大学,208,河南
江西理工大学,209,江西
中南林业科技大学,210,湖南
北京农学院,211,北京
重庆师范大学,212,重庆
江西农业大学,213,江西
兰州交通大学,213,甘肃
西藏大学,215,西藏
沈阳工业大学,216,辽宁
华东交通大学,217,江西
沈阳航空航天大学,218,辽宁
西安邮电大学,219,陕西
东华理工大学,220,江西
东北电力大学,221,吉林
上海电力大学,222,上海
鲁东大学,223,山东
国际关系学院,224,北京
大连大学,225,辽宁
苏州科技大学,226,江苏
河北科技大学,227,河北
渤海大学,228,辽宁
华北理工大学,229,河北
甘肃农业大学,230,甘肃
北京印刷学院,231,北京
重庆理工大学,232,重庆
西安石油大学,232,陕西
海南师范大学,234,海南
上海应用技术大学,235,上海
桂林电子科技大学,236,广西
聊城大学,237,山东
郑州轻工业大学,237,河南
武汉轻工大学,239,湖北
安徽建筑大学,240,安徽
东北石油大学,240,黑龙江
成都信息工程大学,242,四川
东莞理工学院,243,广东
大连交通大学,244,辽宁
山东建筑大学,245,山东
西华师范大学,246,四川
