商品名称,价格
Python编程 从入门到实践 (图灵程序设计丛书)【常年排名美亚及国内亚马逊编程入门类榜首，豆瓣评分9.1，帮助零基础读者迅速掌握Python编程，开发实际项目！】,¥44.50
Python编程：从入门到实践（第2版）（新版上线！！！！沿袭第1版讲解清晰透彻、循序渐进的特点，并全面升级！源代码文件+视频讲解+配套编程环境，零基础自学Python一本就够！）（图灵图书）,¥41.00
Python编程快速上手——让繁琐工作自动化（异步图书）,¥10.99
流畅的Python (图灵程序设计丛书),¥55.99
跟老齐学Python：轻松入门,¥0.00
Python神经网络编程(免费试读版） 手把手教你用Python写神经网络编程,¥0.00
编程小白的第一本 Python 入门书,¥0.00
Python极客项目编程（异步图书）,¥0.00
超简单：用Python让Excel飞起来（零基础学python，用python实现办公自动化，让excel化繁为简，减少重复工作）,¥14.99
Python Cookbook（第3版）中文版（异步图书）,¥21.99
知乎周刊·编程小白学 Python（总第 103 期）,¥0.00
Python基础教程（第3版）（图灵图书）,¥39.99
码农·算法（总第1期）,¥0.10
利用Python进行数据分析（原书第2版） (O’Reilly精品图书系列),¥29.99
Python神经网络编程（异步图书）,¥21.99
Python网络爬虫权威指南（第2版）（图灵图书）,¥52.95
Python语言及其应用 (图灵程序设计丛书),¥34.60
码农·从Python开始（总第7期）,¥0.10
Python机器学习手册：从数据预处理到深度学习（博文视点图书）,¥43.50
对比Excel，轻松学习Python数据分析（博文视点图书）,¥19.99
趣学Python游戏编程,¥23.50
像计算机科学家一样思考Python（第2版）（异步图书）,¥0.00
Python深度学习（图灵图书）,¥57.10
Python学习手册（原书第4版）,¥28.94
精通Python爬虫框架Scrapy（异步图书）,¥0.00
Python数据分析与挖掘实战 (大数据技术丛书) (一本书告诉你什么是有文化的经济学),¥0.00
Python金融实战（异步图书）,¥22.99
编写高质量代码：改善Python程序的91个建议 (Effective系列丛书),¥0.00
作家榜经典：了不起的盖茨比（免费赠英文版《了不起的盖茨比》！村上春树的人生之书！一字未删原汁原味！译者获美国艾奥瓦大学荣誉作家称号） (大星作家榜经典文库),¥0.00
贝叶斯思维：统计建模的Python学习法（异步图书）,¥0.00
Python高级编程（第2版）（异步图书）,¥19.99
趣学Python编程（异步图书）,¥0.00
深度学习入门：基于Python的理论与实现（图灵图书）,¥24.99
OpenCV轻松入门：面向Python,¥48.40
21天学通Python(不含光盘) (21天学编程系列),¥0.00
Flask Web开发 基于Python的Web应用开发实战 (图灵程序设计丛书),¥24.99
Python核心编程（第3版）（异步图书）,¥14.99
Python编程从认知到实践(第1辑)(套装共3册)（异步图书）【美亚畅销Python编程入门图书！人民邮电社计算机畅销精品！新手学习必备，教你像计算机科学家一样思考Python！学会让繁琐工作自动化！】,¥29.99
算法图解 (图灵程序设计丛书),¥12.49
机器学习线性代数基础：Python语言描述,¥24.50
Python科学计算(第2版),¥58.00
Python编程无师自通——专业程序员的养成（异步图书）,¥37.76
Python数据结构与算法分析（第2版）（图灵图书）,¥39.00
“笨办法”学Python（第3版）（异步图书）,¥0.00
Python金融大数据挖掘与分析全流程详解,¥42.90
机器学习：使用OpenCV、Python和scikit-learn进行智能图像处理（原书第2版）（基于OpenCV和Python解决计算机视觉和机器学习中的问题） (智能系统与技术丛书),¥47.50
Odoo快速入门与实战：Python开发ERP指南,¥39.00
Selenium自动化测试——基于 Python 语言（异步图书）,¥0.00
